{ 45.497814, -73.579506}
{ 45.497475, -73.57989}
{ 45.494225, -73.5793}
{ 45.497776, -73.57932}
{ 45.496803, -73.57962}
{ 45.49642, -73.579994}
{ 45.495644, -73.578}
{ 45.496803, -73.57949}
{ 45.494656, -73.57763}
{ 45.49416, -73.57834}
{ 45.49407, -73.57799}
{ 45.495872, -73.57879}
{ 45.493492, -73.5766}
{ 45.496597, -73.58113}
{ 45.49727, -73.57894}
{ 45.497738, -73.579475}
{ 45.496765, -73.577934}
{ 45.49669, -73.57728}
{ 45.496296, -73.57945}
{ 45.49736, -73.57976}
{ 45.495262, -73.57895}
{ 45.497715, -73.57929}
{ 45.497856, -73.57958}
{ 45.49665, -73.57917}
{ 45.496964, -73.57985}
{ 45.496613, -73.57909}
{ 45.496777, -73.57941}
{ 45.496704, -73.57937}
{ 45.497406, -73.57983}
{ 45.49656, -73.585976}
{ 45.49669, -73.57926}
{ 45.495064, -73.578285}
{ 45.497017, -73.579926}
{ 45.495792, -73.5739}
{ 45.496883, -73.579666}
{ 45.496918, -73.57974}
